PlayerID,GameGenre,PlayerLevel,InGamePurchases,PlayTimeHours,Churn_Probability,DefaultActionPlan
9000,Strategy,79,0,16.271118760553215,0.027499999850988388,Community & Social (Guild Invites / New Feature Previews)
9001,Strategy,11,0,5.525961380570566,0.030700000002980232,Community & Social (Guild Invites / New Feature Previews)
9002,Sports,35,0,8.223755243499511,0.029100000858306885,Community & Social (Guild Invites / New Feature Previews)
9003,Action,57,1,5.265351277318268,0.028200000524520874,Community & Social (Guild Invites / New Feature Previews)
9004,Action,95,0,15.53194452113429,0.01979999989271164,Community & Social (Guild Invites / New Feature Previews)
9005,RPG,74,0,20.561855414112557,0.9325000047683716,Emergency Retention (VIP Giftcode / Comeback Energy)
9006,Action,13,0,9.752716365932256,0.949400007724762,Emergency Retention (VIP Giftcode / Comeback Energy)
9007,RPG,27,0,4.401729344841462,0.044199999421834946,Community & Social (Guild Invites / New Feature Previews)
9008,Simulation,23,0,18.15273259575482,0.02459999918937683,Community & Social (Guild Invites / New Feature Previews)
9009,Sports,99,0,23.942771725289525,0.04839999973773956,Community & Social (Guild Invites / New Feature Previews)
9010,Strategy,14,0,4.829915833543258,0.030500000342726707,Community & Social (Guild Invites / New Feature Previews)
9011,Simulation,62,1,5.53598092541321,0.02800000086426735,Community & Social (Guild Invites / New Feature Previews)
9012,Sports,52,1,18.776233805679176,0.894599974155426,Emergency Retention (VIP Giftcode / Comeback Energy)
9013,Strategy,33,0,8.701959180591404,0.960099995136261,Emergency Retention (VIP Giftcode / Comeback Energy)
9014,Simulation,98,0,17.975200475946355,0.6725000143051147,Engagement Push (Daily Login Boost / Double EXP)
9015,RPG,58,0,7.951511339057053,0.022700000554323196,Community & Social (Guild Invites / New Feature Previews)
9016,Strategy,62,0,17.88789845694821,0.02290000021457672,Community & Social (Guild Invites / New Feature Previews)
9017,RPG,13,0,17.272112901806345,0.9628000259399414,Emergency Retention (VIP Giftcode / Comeback Energy)
9018,Action,77,0,19.416078735805648,0.02879999950528145,Community & Social (Guild Invites / New Feature Previews)
9019,RPG,21,0,19.3388255215677,0.9560999870300293,Emergency Retention (VIP Giftcode / Comeback Energy)
9020,Sports,34,0,1.7225809816138815,0.022299999371170998,Community & Social (Guild Invites / New Feature Previews)
